,const,linear_drift,music_boxcar,music_hrf
384.0,1.0,0.25183374083129584,1.0,1.0000000000000002
385.5,1.0,0.256723716381418,1.0,1.0000000000000002
387.0,1.0,0.2616136919315404,1.0,1.0000000000000002
388.5,1.0,0.26650366748166254,1.0,1.0000000000000002
390.0,1.0,0.2713936430317849,1.0,1.0000000000000002
391.5,1.0,0.2762836185819071,1.0,1.0000000000000002
393.0,1.0,0.28117359413202925,1.0,1.0000000000000002
394.5,1.0,0.28606356968215163,1.0,1.0000000000000002
396.0,1.0,0.2909535452322738,1.0,1.0000000000000002
397.5,1.0,0.2958435207823962,1.0,1.0000000000000002
399.0,1.0,0.30073349633251834,1.0,1.0000000000000002
400.5,1.0,0.3056234718826405,1.0,1.0000000000000002
402.0,1.0,0.3105134474327629,1.0,1.0000000000000002
403.5,1.0,0.31540342298288504,1.0,1.0000000000000002
405.0,1.0,0.3202933985330074,1.0,1.0000000000000002
406.5,1.0,0.3251833740831296,1.0,1.0000000000000002
408.0,1.0,0.33007334963325174,1.0,1.0000000000000002
409.5,1.0,0.3349633251833741,1.0,1.0000000000000002
411.0,1.0,0.3398533007334963,1.0,1.0000000000000002
412.5,1.0,0.34474327628361867,1.0,1.0000000000000002
414.0,1.0,0.34963325183374083,1.0,1.0000000000000002
415.5,1.0,0.354523227383863,1.0,1.0000000000000002
417.0,1.0,0.3594132029339854,1.0,1.0000000000000002
418.5,1.0,0.36430317848410754,1.0,1.0000000000000002
420.0,1.0,0.3691931540342299,1.0,1.0000000000000002
421.5,1.0,0.3740831295843521,1.0,1.0000000000000002
423.0,1.0,0.37897310513447424,1.0,1.0000000000000002
424.5,1.0,0.3838630806845966,1.0,1.0000000000000002
426.0,1.0,0.3887530562347188,1.0,1.0000000000000002
427.5,1.0,0.39364303178484117,1.0,1.0000000000000002
429.0,1.0,0.39853300733496333,1.0,1.0000000000000002
430.5,1.0,0.4034229828850855,1.0,1.0000000000000002
432.0,1.0,0.4083129584352079,1.0,1.0000000000000002
433.5,1.0,0.41320293398533003,1.0,1.0000000000000002
435.0,1.0,0.4180929095354524,1.0,1.0000000000000002
436.5,1.0,0.4229828850855746,1.0,1.0000000000000002
438.0,1.0,0.42787286063569674,1.0,1.0000000000000002
439.5,1.0,0.4327628361858191,1.0,1.0000000000000002
441.0,1.0,0.4376528117359413,1.0,1.0000000000000002
442.5,1.0,0.44254278728606367,1.0,1.0000000000000002
444.0,1.0,0.4474327628361858,1.0,1.0000000000000002
445.5,1.0,0.452322738386308,1.0,1.0000000000000002
447.0,1.0,0.45721271393643037,1.0,1.0000000000000002
448.5,1.0,0.46210268948655253,1.0,1.0000000000000002
450.0,1.0,0.4669926650366749,1.0,1.0000000000000002
451.5,1.0,0.4718826405867971,1.0,1.0000000000000002
453.0,1.0,0.47677261613691924,1.0,1.0000000000000002
454.5,1.0,0.4816625916870416,1.0,1.0000000000000002
456.0,1.0,0.4865525672371638,1.0,1.0000000000000002
457.5,1.0,0.49144254278728616,1.0,1.0000000000000002
459.0,1.0,0.4963325183374083,1.0,1.0000000000000002
460.5,1.0,0.5012224938875305,1.0,1.0000000000000002
462.0,1.0,0.5061124694376529,1.0,1.0000000000000002
463.5,1.0,0.511002444987775,1.0,1.0000000000000002
465.0,1.0,0.5158924205378974,1.0,1.0000000000000002
466.5,1.0,0.5207823960880196,1.0,1.0000000000000002
468.0,1.0,0.5256723716381417,1.0,1.0000000000000002
469.5,1.0,0.5305623471882641,1.0,1.0000000000000002
471.0,1.0,0.5354523227383863,1.0,1.0000000000000002
472.5,1.0,0.5403422982885087,1.0,1.0000000000000002
474.0,1.0,0.5452322738386308,1.0,1.0000000000000002
475.5,1.0,0.550122249388753,1.0,1.0000000000000002
477.0,1.0,0.5550122249388754,1.0,1.0000000000000002
478.5,1.0,0.5599022004889975,1.0,1.0000000000000002
480.0,1.0,0.5647921760391199,1.0,1.0000000000000002
481.5,1.0,0.5696821515892421,1.0,1.0000000000000002
483.0,1.0,0.5745721271393642,1.0,1.0000000000000002
484.5,1.0,0.5794621026894866,1.0,1.0000000000000002
486.0,1.0,0.5843520782396088,1.0,1.0000000000000002
487.5,1.0,0.5892420537897309,1.0,1.0000000000000002
489.0,1.0,0.5941320293398533,1.0,1.0000000000000002
490.5,1.0,0.5990220048899755,1.0,1.0000000000000002
492.0,1.0,0.6039119804400979,1.0,1.0000000000000002
493.5,1.0,0.60880195599022,1.0,1.0000000000000002
495.0,1.0,0.6136919315403422,1.0,1.0000000000000002
496.5,1.0,0.6185819070904646,1.0,1.0000000000000002
498.0,1.0,0.6234718826405867,1.0,1.0000000000000002
499.5,1.0,0.6283618581907091,1.0,1.0000000000000002
501.0,1.0,0.6332518337408313,1.0,1.0000000000000002
502.5,1.0,0.6381418092909534,1.0,1.0000000000000002
504.0,1.0,0.6430317848410758,1.0,1.0000000000000002
505.5,1.0,0.647921760391198,1.0,1.0000000000000002
507.0,1.0,0.6528117359413204,1.0,1.0000000000000002
508.5,1.0,0.6577017114914425,1.0,1.0000000000000002
510.0,1.0,0.6625916870415647,1.0,1.0000000000000002
511.5,1.0,0.6674816625916871,1.0,1.0000000000000002
513.0,1.0,0.6723716381418092,1.0,1.0000000000000002
514.5,1.0,0.6772616136919316,1.0,1.0000000000000002
516.0,1.0,0.6821515892420538,1.0,1.0000000000000002
517.5,1.0,0.6870415647921759,1.0,1.0000000000000002
519.0,1.0,0.6919315403422983,1.0,1.0000000000000002
520.5,1.0,0.6968215158924205,1.0,1.0000000000000002
522.0,1.0,0.7017114914425429,1.0,1.0000000000000002
523.5,1.0,0.706601466992665,1.0,1.0000000000000002
525.0,1.0,0.7114914425427872,1.0,1.0000000000000002
526.5,1.0,0.7163814180929096,1.0,1.0000000000000002
528.0,1.0,0.7212713936430317,1.0,1.0000000000000002
529.5,1.0,0.7261613691931541,1.0,1.0000000000000002
531.0,1.0,0.7310513447432763,1.0,1.0000000000000002
532.5,1.0,0.7359413202933984,1.0,1.0000000000000002
534.0,1.0,0.7408312958435208,1.0,1.0000000000000002
535.5,1.0,0.745721271393643,1.0,1.0000000000000002
537.0,1.0,0.7506112469437654,1.0,1.0000000000000002
538.5,1.0,0.7555012224938875,1.0,1.0000000000000002
540.0,1.0,0.7603911980440097,1.0,1.0000000000000002
541.5,1.0,0.7652811735941321,1.0,1.0000000000000002
543.0,1.0,0.7701711491442542,1.0,1.0000000000000002
544.5,1.0,0.7750611246943766,1.0,1.0000000000000002
546.0,1.0,0.7799511002444988,1.0,1.0000000000000002
547.5,1.0,0.7848410757946209,1.0,1.0000000000000002
549.0,1.0,0.7897310513447433,1.0,1.0000000000000002
550.5,1.0,0.7946210268948655,1.0,1.0000000000000002
552.0,1.0,0.7995110024449879,1.0,1.0000000000000002
553.5,1.0,0.80440097799511,1.0,1.0000000000000002
555.0,1.0,0.8092909535452322,1.0,1.0000000000000002
