,const,linear_drift,scene_boxcar,scene_hrf
152.0,1.0,-0.8623811679492983,1.0,1.0
153.0,1.0,-0.8614757808963331,1.0,1.0
154.0,1.0,-0.860570393843368,1.0,1.0
155.0,1.0,-0.8596650067904029,1.0,1.0
156.0,1.0,-0.8587596197374378,1.0,1.0
157.0,1.0,-0.8578542326844726,1.0,1.0
158.0,1.0,-0.8569488456315075,1.0,1.0
159.0,1.0,-0.8560434585785424,1.0,1.0
160.0,1.0,-0.8551380715255772,1.0,1.0
161.0,1.0,-0.854232684472612,1.0,1.0
162.0,1.0,-0.8533272974196469,1.0,1.0
163.0,1.0,-0.8524219103666817,1.0,1.0
164.0,1.0,-0.8515165233137166,1.0,1.0
165.0,1.0,-0.8506111362607515,1.0,1.0
166.0,1.0,-0.8497057492077863,1.0,1.0
167.0,1.0,-0.8488003621548212,1.0,1.0
168.0,1.0,-0.8478949751018561,1.0,1.0
169.0,1.0,-0.8469895880488909,1.0,1.0
170.0,1.0,-0.8460842009959257,1.0,1.0
171.0,1.0,-0.8451788139429606,1.0,1.0
172.0,1.0,-0.8442734268899955,1.0,1.0
173.0,1.0,-0.8433680398370303,1.0,1.0
174.0,1.0,-0.8424626527840652,1.0,1.0
175.0,1.0,-0.8415572657311,1.0,1.0
176.0,1.0,-0.840651878678135,1.0,1.0
177.0,1.0,-0.8397464916251698,1.0,1.0
178.0,1.0,-0.8388411045722046,1.0,1.0
179.0,1.0,-0.8379357175192395,1.0,1.0
180.0,1.0,-0.8370303304662743,1.0,1.0
181.0,1.0,-0.8361249434133092,1.0,1.0
182.0,1.0,-0.8352195563603441,1.0,1.0
183.0,1.0,-0.8343141693073789,1.0,1.0
184.0,1.0,-0.8334087822544137,1.0,1.0
185.0,1.0,-0.8325033952014487,1.0,1.0
186.0,1.0,-0.8315980081484835,1.0,1.0
187.0,1.0,-0.8306926210955183,1.0,1.0
188.0,1.0,-0.8297872340425532,1.0,1.0
189.0,1.0,-0.828881846989588,1.0,1.0
190.0,1.0,-0.8279764599366229,1.0,1.0
191.0,1.0,-0.8270710728836578,1.0,1.0
192.0,1.0,-0.8261656858306926,1.0,1.0
193.0,1.0,-0.8252602987777274,1.0,1.0
194.0,1.0,-0.8243549117247624,1.0,1.0
195.0,1.0,-0.8234495246717972,1.0,1.0
196.0,1.0,-0.822544137618832,1.0,1.0
197.0,1.0,-0.8216387505658669,1.0,1.0
198.0,1.0,-0.8207333635129017,1.0,1.0
199.0,1.0,-0.8198279764599367,1.0,1.0
200.0,1.0,-0.8189225894069715,1.0,1.0
201.0,1.0,-0.8180172023540063,1.0,1.0
202.0,1.0,-0.8171118153010412,1.0,1.0
203.0,1.0,-0.8162064282480761,1.0,1.0
204.0,1.0,-0.8153010411951109,1.0,1.0
205.0,1.0,-0.8143956541421458,1.0,1.0
206.0,1.0,-0.8134902670891806,1.0,1.0
207.0,1.0,-0.8125848800362154,1.0,1.0
208.0,1.0,-0.8116794929832504,1.0,1.0
209.0,1.0,-0.8107741059302852,1.0,1.0
210.0,1.0,-0.80986871887732,1.0,1.0
211.0,1.0,-0.808963331824355,1.0,1.0
212.0,1.0,-0.8080579447713898,1.0,1.0
213.0,1.0,-0.8071525577184246,1.0,1.0
214.0,1.0,-0.8062471706654595,1.0,1.0
215.0,1.0,-0.8053417836124943,1.0,1.0
216.0,1.0,-0.8044363965595291,1.0,1.0
217.0,1.0,-0.8035310095065641,1.0,1.0
218.0,1.0,-0.8026256224535989,1.0,1.0
219.0,1.0,-0.8017202354006338,1.0,1.0
220.0,1.0,-0.8008148483476687,1.0,1.0
221.0,1.0,-0.7999094612947035,1.0,1.0
222.0,1.0,-0.7990040742417384,1.0,1.0
223.0,1.0,-0.7980986871887732,1.0,1.0
224.0,1.0,-0.797193300135808,1.0,1.0
225.0,1.0,-0.7962879130828429,1.0,1.0
226.0,1.0,-0.7953825260298778,1.0,1.0
227.0,1.0,-0.7944771389769126,1.0,1.0
228.0,1.0,-0.7935717519239475,1.0,1.0
229.0,1.0,-0.7926663648709824,1.0,1.0
230.0,1.0,-0.7917609778180172,1.0,1.0
231.0,1.0,-0.7908555907650521,1.0,1.0
232.0,1.0,-0.7899502037120869,1.0,1.0
233.0,1.0,-0.7890448166591217,1.0,1.0
234.0,1.0,-0.7881394296061566,1.0,1.0
235.0,1.0,-0.7872340425531915,1.0,1.0
236.0,1.0,-0.7863286555002263,1.0,1.0
237.0,1.0,-0.7854232684472612,1.0,1.0
238.0,1.0,-0.7845178813942961,1.0,1.0
239.0,1.0,-0.783612494341331,1.0,1.0
240.0,1.0,-0.7827071072883658,1.0,1.0
241.0,1.0,-0.7818017202354006,1.0,1.0
242.0,1.0,-0.7808963331824355,1.0,1.0
243.0,1.0,-0.7799909461294703,1.0,1.0
244.0,1.0,-0.7790855590765052,1.0,1.0
245.0,1.0,-0.7781801720235401,1.0,1.0
246.0,1.0,-0.7772747849705749,1.0,1.0
247.0,1.0,-0.7763693979176098,1.0,1.0
248.0,1.0,-0.7754640108646447,1.0,1.0
249.0,1.0,-0.7745586238116795,1.0,1.0
250.0,1.0,-0.7736532367587143,1.0,1.0
251.0,1.0,-0.7727478497057492,1.0,1.0
252.0,1.0,-0.771842462652784,1.0,1.0
253.0,1.0,-0.7709370755998189,1.0,1.0
254.0,1.0,-0.7700316885468538,1.0,1.0
255.0,1.0,-0.7691263014938886,1.0,1.0
256.0,1.0,-0.7682209144409236,1.0,1.0
257.0,1.0,-0.7673155273879584,1.0,1.0
258.0,1.0,-0.7664101403349932,1.0,1.0
259.0,1.0,-0.765504753282028,1.0,1.0
260.0,1.0,-0.7645993662290629,1.0,1.0
261.0,1.0,-0.7636939791760977,1.0,1.0
262.0,1.0,-0.7627885921231327,1.0,1.0
263.0,1.0,-0.7618832050701675,1.0,1.0
264.0,1.0,-0.7609778180172023,1.0,1.0
265.0,1.0,-0.7600724309642373,1.0,1.0
266.0,1.0,-0.7591670439112721,1.0,1.0
267.0,1.0,-0.7582616568583069,1.0,1.0
268.0,1.0,-0.7573562698053418,1.0,1.0
269.0,1.0,-0.7564508827523766,1.0,1.0
270.0,1.0,-0.7555454956994115,1.0,1.0
271.0,1.0,-0.7546401086464464,1.0,1.0
272.0,1.0,-0.7537347215934812,1.0,1.0
273.0,1.0,-0.752829334540516,1.0,1.0
274.0,1.0,-0.751923947487551,1.0,1.0
275.0,1.0,-0.7510185604345858,1.0,1.0
276.0,1.0,-0.7501131733816206,1.0,1.0
277.0,1.0,-0.7492077863286555,1.0,1.0
278.0,1.0,-0.7483023992756903,1.0,1.0
279.0,1.0,-0.7473970122227251,1.0,1.0
280.0,1.0,-0.7464916251697601,1.0,1.0
281.0,1.0,-0.7455862381167949,1.0,1.0
282.0,1.0,-0.7446808510638299,1.0,1.0
283.0,1.0,-0.7437754640108647,1.0,1.0
284.0,1.0,-0.7428700769578995,1.0,1.0
285.0,1.0,-0.7419646899049344,1.0,1.0
286.0,1.0,-0.7410593028519692,1.0,1.0
287.0,1.0,-0.740153915799004,1.0,1.0
288.0,1.0,-0.7392485287460389,1.0,1.0
289.0,1.0,-0.7383431416930738,1.0,1.0
290.0,1.0,-0.7374377546401086,1.0,1.0
291.0,1.0,-0.7365323675871436,1.0,1.0
292.0,1.0,-0.7356269805341784,1.0,1.0
293.0,1.0,-0.7347215934812132,1.0,1.0
294.0,1.0,-0.7338162064282481,1.0,1.0
295.0,1.0,-0.7329108193752829,1.0,1.0
296.0,1.0,-0.7320054323223177,1.0,1.0
297.0,1.0,-0.7311000452693526,1.0,1.0
298.0,1.0,-0.7301946582163875,1.0,1.0
299.0,1.0,-0.7292892711634223,1.0,1.0
300.0,1.0,-0.7283838841104573,1.0,1.0
301.0,1.0,-0.7274784970574921,1.0,1.0
302.0,1.0,-0.726573110004527,1.0,1.0
303.0,1.0,-0.7256677229515618,1.0,1.0
304.0,1.0,-0.7247623358985966,1.0,1.0
305.0,1.0,-0.7238569488456315,1.0,1.0
306.0,1.0,-0.7229515617926663,1.0,1.0
307.0,1.0,-0.7220461747397012,1.0,1.0
308.0,1.0,-0.7211407876867361,1.0,1.0
309.0,1.0,-0.720235400633771,1.0,1.0
310.0,1.0,-0.7193300135808058,1.0,1.0
311.0,1.0,-0.7184246265278407,1.0,1.0
